Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Net Income,Taxable Income,,,,,,,,,,,,,,,,,,
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,101340,5424385000 ,5013125000 ,4710933000 ,,,,,,,,,,,,,,,,,,
24,24078,Vimy,88690,3149218000 ,2907898000 ,2785438000 ,,,,,,,,,,,,,,,,,,
TOTAL,,,6509340,266919581000 ,244417934000 ,235099615000 ,,,,,,,,,,,,,,,,,,
35,35001,Ajax,87350,3955540000 ,3627938000 ,3550765000 ,,,,,,,,,,,,,,,,,,
35,35002,Algoma--Manitoulin--Kapuskasing,65190,2446494000 ,2262013000 ,2134731000 ,,,,,,,,,,,,,,,,,,
35,35003,Aurora--Oak Ridges--Richmond Hill,87990,4638080000 ,4221138000 ,4127674000 ,,,,,,,,,,,,,,,,,,
35,35004,Barrie--Innisfil,80170,3689138000 ,3398049000 ,3327794000 ,,,,,,,,,,,,,,,,,,
35,35005,Barrie--Springwater--Oro-Medonte,75610,3443227000 ,3153987000 ,3063241000 ,,,,,,,,,,,,,,,,,,
35,35006,Bay of Quinte,86380,3491976000 ,3200819000 ,3067055000 ,,,,,,,,,,,,,,,,,,
35,35007,Beaches--East York,80500,4373594000 ,4009097000 ,3879343000 ,,,,,,,,,,,,,,,,,,
35,35008,Brampton Centre,77790,2744645000 ,2566719000 ,2478895000 ,,,,,,,,,,,,,,,,,,
35,35009,Brampton East,89940,2958811000 ,2754024000 ,2647341000 ,,,,,,,,,,,,,,,,,,
35,35010,Brampton North,89430,3348348000 ,3104120000 ,3015230000 ,,,,,,,,,,,,,,,,,,
35,35011,Brampton South,89950,3185583000 ,2967392000 ,2858916000 ,,,,,,,,,,,,,,,,,,
35,35012,Brampton West,87890,3202681000 ,2983365000 ,2904308000 ,,,,,,,,,,,,,,,,,,
35,35013,Brantford--Brant,100190,4065387000 ,3759357000 ,3607600000 ,,,,,,,,,,,,,,,,,,
35,35014,Bruce--Grey--Owen Sound,85130,3406128000 ,3133118000 ,2992713000 ,,,,,,,,,,,,,,,,,,
35,35015,Burlington,98120,5719884000 ,5221398000 ,5100285000 ,,,,,,,,,,,,,,,,,,
35,35016,Cambridge,88750,3883801000 ,3608466000 ,3499906000 ,,,,,,,,,,,,,,,,,,
35,35017,Chatham-Kent--Leamington,98970,3668240000 ,3428347000 ,3236925000 ,,,,,,,,,,,,,,,,,,
35,35018,Davenport,82560,3181441000 ,2969796000 ,2842103000 ,,,,,,,,,,,,,,,,,,
35,35019,Don Valley East,73560,3363614000 ,3108223000 ,2984932000 ,,,,,,,,,,,,,,,,,,
35,35020,Don Valley North,90780,3802397000 ,3486658000 ,3362479000 ,,,,,,,,,,,,,,,,,,
35,35021,Don Valley West,77930,8178060000 ,7562196000 ,7325786000 ,,,,,,,,,,,,,,,,,,
35,35022,Dufferin--Caledon,95860,5021303000 ,4614507000 ,4513325000 ,,,,,,,,,,,,,,,,,,
35,35023,Durham,95420,4773705000 ,4359025000 ,4285858000 ,,,,,,,,,,,,,,,,,,
35,35024,Eglinton--Lawrence,86920,7004539000 ,6455016000 ,6261769000 ,,,,,,,,,,,,,,,,,,
35,35025,Elgin--Middlesex--London,88250,3802009000 ,3507883000 ,3380297000 ,,,,,,,,,,,,,,,,,,
35,35026,Essex,94430,4803145000 ,4402599000 ,4277596000 ,,,,,,,,,,,,,,,,,,
35,35027,Etobicoke Centre,93260,5515216000 ,5059770000 ,4919143000 ,,,,,,,,,,,,,,,,,,
35,35028,Etobicoke--Lakeshore,97880,5779421000 ,5316085000 ,5159791000 ,,,,,,,,,,,,,,,,,,
35,35029,Etobicoke North,91730,2680762000 ,2521224000 ,2353997000 ,,,,,,,,,,,,,,,,,,
35,35030,Flamborough--Glanbrook,79190,4123691000 ,3770850000 ,3696707000 ,,,,,,,,,,,,,,,,,,
35,35031,Glengarry--Prescott--Russell,88390,4080824000 ,3722200000 ,3598588000 ,,,,,,,,,,,,,,,,,,
35,35032,Guelph,98700,4722406000 ,4335982000 ,4240032000 ,,,,,,,,,,,,,,,,,,
35,35033,Haldimand--Norfolk,86820,3572932000 ,3289650000 ,3164896000 ,,,,,,,,,,,,,,,,,,
35,35034,Haliburton--Kawartha Lakes--Brock,89750,3698420000 ,3395319000 ,3265048000 ,,,,,,,,,,,,,,,,,,
35,35035,Hamilton Centre,75370,2513869000 ,2360747000 ,2162091000 ,,,,,,,,,,,,,,,,,,
35,35036,Hamilton East--Stoney Creek,86070,3356293000 ,3119263000 ,2985851000 ,,,,,,,,,,,,,,,,,,
35,35037,Hamilton Mountain,82760,3165070000 ,2929904000 ,2816650000 ,,,,,,,,,,,,,,,,,,
35,35038,Hamilton West--Ancaster--Dundas,86010,4630669000 ,4208383000 ,4111951000 ,,,,,,,,,,,,,,,,,,
35,35039,Hastings--Lennox and Addington,83370,3300802000 ,3028844000 ,2897176000 ,,,,,,,,,,,,,,,,,,
35,35040,Huron--Bruce,81250,3829448000 ,3511533000 ,3376654000 ,,,,,,,,,,,,,,,,,,
35,35041,Kanata--Carleton,80610,4797595000 ,4300360000 ,4223844000 ,,,,,,,,,,,,,,,,,,
35,35042,Kenora,45930,1688664000 ,1558565000 ,1480527000 ,,,,,,,,,,,,,,,,,,
35,35043,King--Vaughan,95120,5140616000 ,4734372000 ,4618791000 ,,,,,,,,,,,,,,,,,,
35,35044,Kingston and the Islands,88800,4227555000 ,3834769000 ,3710132000 ,,,,,,,,,,,,,,,,,,
35,35045,Kitchener Centre,80690,3265107000 ,3030544000 ,2912679000 ,,,,,,,,,,,,,,,,,,
35,35046,Kitchener--Conestoga,71300,3558577000 ,3263560000 ,3187484000 ,,,,,,,,,,,,,,,,,,
35,35047,Kitchener South--Hespeler,78520,3639014000 ,3359790000 ,3266928000 ,,,,,,,,,,,,,,,,,,
35,35048,Lambton--Kent--Middlesex,80670,3540670000 ,3251450000 ,3111928000 ,,,,,,,,,,,,,,,,,,
35,35049,Lanark--Frontenac--Kingston,78550,3557856000 ,3247360000 ,3146577000 ,,,,,,,,,,,,,,,,,,
35,35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,82330,3597796000 ,3293154000 ,3183156000 ,,,,,,,,,,,,,,,,,,
35,35051,London--Fanshawe,90380,3193411000 ,2975403000 ,2834173000 ,,,,,,,,,,,,,,,,,,
35,35052,London North Centre,93740,4353709000 ,3987330000 ,3843331000 ,,,,,,,,,,,,,,,,,,
35,35053,London West,95830,4677382000 ,4259056000 ,4149577000 ,,,,,,,,,,,,,,,,,,
35,35054,Markham--Stouffville,93810,4834537000 ,4390517000 ,4289640000 ,,,,,,,,,,,,,,,,,,
35,35055,Markham--Thornhill,86250,3343031000 ,3073907000 ,2951869000 ,,,,,,,,,,,,,,,,,,
35,35056,Markham--Unionville,96110,4462701000 ,4053190000 ,3933537000 ,,,,,,,,,,,,,,,,,,
35,35057,Milton,76020,4066499000 ,3729400000 ,3666825000 ,,,,,,,,,,,,,,,,,,
35,35058,Mississauga Centre,100500,3700899000 ,3431889000 ,3317651000 ,,,,,,,,,,,,,,,,,,
35,35059,Mississauga East--Cooksville,95690,3572123000 ,3317302000 ,3195208000 ,,,,,,,,,,,,,,,,,,
35,35060,Mississauga--Erin Mills,94190,4210603000 ,3854416000 ,3765794000 ,,,,,,,,,,,,,,,,,,
35,35061,Mississauga--Lakeshore,92070,5692213000 ,5218779000 ,5075964000 ,,,,,,,,,,,,,,,,,,
35,35062,Mississauga--Malton,93020,3247500000 ,3025652000 ,2919809000 ,,,,,,,,,,,,,,,,,,
35,35063,Mississauga--Streetsville,92370,4380553000 ,4018553000 ,3927096000 ,,,,,,,,,,,,,,,,,,
35,35064,Nepean,92530,5111663000 ,4595202000 ,4515526000 ,,,,,,,,,,,,,,,,,,
35,35065,Newmarket--Aurora,92640,5061578000 ,4629717000 ,4536045000 ,,,,,,,,,,,,,,,,,,
35,35066,Niagara Centre,87780,3377831000 ,3114789000 ,2975758000 ,,,,,,,,,,,,,,,,,,
35,35067,Niagara Falls,107990,4314433000 ,3966790000 ,3801650000 ,,,,,,,,,,,,,,,,,,
35,35068,Niagara West,69610,3541613000 ,3233506000 ,3158663000 ,,,,,,,,,,,,,,,,,,
35,35069,Nickel Belt,74810,3501732000 ,3224245000 ,3116704000 ,,,,,,,,,,,,,,,,,,
35,35070,Nipissing--Timiskaming,74380,3106459000 ,2854800000 ,2730285000 ,,,,,,,,,,,,,,,,,,
35,35071,Northumberland--Peterborough South,85770,3884580000 ,3545784000 ,3444749000 ,,,,,,,,,,,,,,,,,,
35,35072,Oakville,94670,7661901000 ,7047461000 ,6847832000 ,,,,,,,,,,,,,,,,,,
35,35073,Oakville North--Burlington,91540,5930753000 ,5396222000 ,5304114000 ,,,,,,,,,,,,,,,,,,
35,35074,Oshawa,97940,3921003000 ,3627362000 ,3486793000 ,,,,,,,,,,,,,,,,,,
35,35075,Ottawa Centre,87450,5580551000 ,5055675000 ,4918983000 ,,,,,,,,,,,,,,,,,,
35,35076,Orléans,98630,5591490000 ,4992957000 ,4920945000 ,,,,,,,,,,,,,,,,,,
35,35077,Ottawa South,92100,4463398000 ,4051645000 ,3915392000 ,,,,,,,,,,,,,,,,,,
35,35078,Ottawa--Vanier,84580,4284547000 ,3896535000 ,3728269000 ,,,,,,,,,,,,,,,,,,
35,35079,Ottawa West--Nepean,85710,4167556000 ,3785332000 ,3662698000 ,,,,,,,,,,,,,,,,,,
35,35080,Oxford,94110,4119237000 ,3826266000 ,3680074000 ,,,,,,,,,,,,,,,,,,
35,35081,Parkdale--High Park,79340,4561186000 ,4189540000 ,4052960000 ,,,,,,,,,,,,,,,,,,
35,35082,Parry Sound--Muskoka,74600,3051166000 ,2804856000 ,2699718000 ,,,,,,,,,,,,,,,,,,
35,35083,Perth--Wellington,84680,3630992000 ,3370205000 ,3231138000 ,,,,,,,,,,,,,,,,,,
35,35084,Peterborough--Kawartha,92250,3853599000 ,3516144000 ,3380765000 ,,,,,,,,,,,,,,,,,,
35,35085,Pickering--Uxbridge,86880,4513520000 ,4108279000 ,4027007000 ,,,,,,,,,,,,,,,,,,
35,35086,Renfrew--Nipissing--Pembroke,84260,3549200000 ,3244508000 ,3132000000 ,,,,,,,,,,,,,,,,,,
35,35087,Richmond Hill,93430,4345120000 ,3974114000 ,3844273000 ,,,,,,,,,,,,,,,,,,
35,35088,Carleton,67910,4321815000 ,3877843000 ,3814102000 ,,,,,,,,,,,,,,,,,,
35,35089,St. Catharines,88960,3512555000 ,3240978000 ,3107721000 ,,,,,,,,,,,,,,,,,,
35,35090,Toronto--St. Paul's,83650,7600881000 ,7000252000 ,6814892000 ,,,,,,,,,,,,,,,,,,
35,35091,Sarnia--Lambton,85090,4264150000 ,3895764000 ,3772112000 ,,,,,,,,,,,,,,,,,,
35,35092,Sault Ste. Marie,66370,2750103000 ,2532380000 ,2424674000 ,,,,,,,,,,,,,,,,,,
35,35093,Scarborough--Agincourt,88790,2773180000 ,2559777000 ,2414757000 ,,,,,,,,,,,,,,,,,,
35,35094,Scarborough Centre,86080,2661196000 ,2488222000 ,2349423000 ,,,,,,,,,,,,,,,,,,
35,35095,Scarborough--Guildwood,78610,2459234000 ,2289339000 ,2152065000 ,,,,,,,,,,,,,,,,,,
35,35096,Scarborough North,84130,2344668000 ,2178453000 ,2045882000 ,,,,,,,,,,,,,,,,,,
35,35097,Scarborough--Rouge Park,79550,3071344000 ,2823892000 ,2713163000 ,,,,,,,,,,,,,,,,,,
35,35098,Scarborough Southwest,83160,3069450000 ,2850867000 ,2702164000 ,,,,,,,,,,,,,,,,,,
35,35099,Simcoe--Grey,99260,4631965000 ,4250427000 ,4133115000 ,,,,,,,,,,,,,,,,,,
35,35100,Simcoe North,92500,3701205000 ,3403205000 ,3273572000 ,,,,,,,,,,,,,,,,,,
35,35101,Spadina--Fort York,83380,5392627000 ,4980692000 ,4868344000 ,,,,,,,,,,,,,,,,,,
35,35102,Stormont--Dundas--South Glengarry,82110,3168341000 ,2927643000 ,2781086000 ,,,,,,,,,,,,,,,,,,
35,35103,Sudbury,73920,3418607000 ,3144998000 ,3026237000 ,,,,,,,,,,,,,,,,,,
35,35104,Thornhill,93120,5050324000 ,4604854000 ,4467059000 ,,,,,,,,,,,,,,,,,,
35,35105,Thunder Bay--Rainy River,65440,2758356000 ,2525685000 ,2424850000 ,,,,,,,,,,,,,,,,,,
35,35106,Thunder Bay--Superior North,65310,2902324000 ,2656322000 ,2555075000 ,,,,,,,,,,,,,,,,,,
35,35107,Timmins--James Bay,63770,2713808000 ,2522145000 ,2408890000 ,,,,,,,,,,,,,,,,,,
35,35108,Toronto Centre,76320,3981636000 ,3685618000 ,3527889000 ,,,,,,,,,,,,,,,,,,
35,35109,Toronto--Danforth,79950,4141294000 ,3792864000 ,3670272000 ,,,,,,,,,,,,,,,,,,
